pid,ans,city,deviceType
www.birminghampost.co.uk,,Birmingham,mobile
www.mirror.co.uk,,,mobile
www.chroniclelive.co.uk,,Wallsend,mobile
www.bristolpost.co.uk,,Bristol,mobile
www.chroniclelive.co.uk,,Solihull,
www.manchestereveningnews.co.uk,,Wilmslow,
www.mirror.co.uk,2,Islington,
www.bristolpost.co.uk,,Bristol,mobile
www.bristolpost.co.uk,,Bristol,mobile
www.chroniclelive.co.uk,,Newcastle upon Tyne,mobile
www.birminghampost.co.uk,1,Birmingham,mobile
www.bristolpost.co.uk,,Bristol,mobile
www.manchestereveningnews.co.uk,,Manchester,
www.chroniclelive.co.uk,,Durham,
www.chroniclelive.co.uk,,Blaydon,mobile
www.manchestereveningnews.co.uk,1,Leeds,
www.chroniclelive.co.uk,,Newcastle upon Tyne,mobile
www.manchestereveningnews.co.uk,,Manchester,
www.chroniclelive.co.uk,,Newcastle upon Tyne,
www.bristolpost.co.uk,,Bristol,mobile
www.bristolpost.co.uk,,Bristol,
www.birminghampost.co.uk,,Birmingham,mobile
www.birminghampost.co.uk,,Birmingham,mobile
www.manchestereveningnews.co.uk,,Manchester,mobile
www.bristolpost.co.uk,,Bristol,mobile
www.chroniclelive.co.uk,,Fleet,
www.manchestereveningnews.co.uk,,Stockport,
www.chroniclelive.co.uk,,Newcastle upon Tyne,mobile
www.mirror.co.uk,,London,
www.manchestereveningnews.co.uk,,Manchester,mobile
www.manchestereveningnews.co.uk,,Manchester,
www.mirror.co.uk,,,mobile
www.chroniclelive.co.uk,,Newcastle upon Tyne,mobile
www.mirror.co.uk,,London,
www.bristolpost.co.uk,,Bristol,
www.bristolpost.co.uk,,Bristol,mobile
www.mirror.co.uk,,Leyton,mobile
www.manchestereveningnews.co.uk,,Manchester,mobile
www.chroniclelive.co.uk,,North Shields,mobile
www.bristolpost.co.uk,,Bristol,mobile
www.chroniclelive.co.uk,,North Shields,mobile
www.mirror.co.uk,,Islington,
creative-preview-an.com,,,tablet
www.manchestereveningnews.co.uk,1,Manchester,mobile
www.bristolpost.co.uk,3,Bristol,mobile
www.chroniclelive.co.uk,,Wallsend,
www.bristolpost.co.uk,1,Bristol,mobile
www.manchestereveningnews.co.uk,,Manchester,mobile
www.manchestereveningnews.co.uk,0,Rochdale,mobile
www.mirror.co.uk,0,London,
www.mirror.co.uk,,Clapham,
